corpus-id	filename	xmlid	author-name	title	author-birth	author-death	author-gender	author-ids	reference-year	first-edition	digital-edition	print-edition	provenance	title-ids	language	numwords	subgenre	narrative-perspective	size-category	reprint-count	time-slot
ELTeC-ukr	UKR18411_KvitkaSerdeshnaOksana	UKR18411	Квітка-Основ'яненко, Григорій	Сердешна Оксана	1778	1843	M	viaf:54960129	1841	NA	NA	1841	NA	NA	uk	18114	NA	NA	short	high	T1
ELTeC-ukr	UKR18571_KulishChornaRada	UKR18571	Куліш, Пантелеймон	Чорна рада, хроніка 1663 року	1819	1897	M	viaf:62360468	1857	NA	NA	1857	NA	viaf:1832153411869041700005	uk	51378	NA	NA	medium	high	T1
ELTeC-ukr	UKR18582_KvitkaKozyrDivka	UKR18582	Квітка-Основ'яненко, Григорій	Козир-дівка	1778	1843	M	viaf:54960129	1858	NA	NA	1858	NA	NA	uk	18895	NA	NA	short	high	T1
ELTeC-ukr	UKR18581_KvitkaKonotopskaVidma	UKR18581	Квітка-Основ'яненко, Григорій	Конотопська відьма	1778	1843	M	viaf:54960129	1858	NA	NA	1858	NA	NA	uk	25363	NA	NA	short	high	T1
ELTeC-ukr	UKR18583_VovchokKozachka	UKR18583	Вовчок, Марко [Марія Вілінська]	Козачка	1833	1907	F	NA	1858	NA	NA	1858	NA	NA	uk	5007	NA	NA	short	high	T1
ELTeC-ukr	UKR18611_KulishBilozerskaNeBuloZmalku	UKR18611	Нечуй-Вітер, А. [Олександра Куліш-Білозерська]	Не було змалку - не буде й до'станку	1828	1911	F	viaf:42775613	1861	1861	NA	NA	NA	NA	uk	10041	NA	NA	short	low	T2
ELTeC-ukr	UKR18621_VovchokInstytutka	UKR18621	Вовчок, Марко [Марія Вілінська]	Інститутка	1833	1907	F	viaf:32150777	1862	NA	NA	1862	NA	NA	uk	11695	NA	NA	short	high	T2
ELTeC-ukr	UKR18622_VovchokVidSebeNeVtechesh	UKR18622	Вовчок, Марко [Марія Вілінська]	Від себе не втечеш	1833	1907	F	viaf:32150777	1862	1862	NA	NA	NA	NA	uk	10311	NA	NA	short	low	T2
ELTeC-ukr	UKR18651_VovchokDeviatBrativ	UKR18651	Вовчок, Марко [Марія Вілінська]	Дев'ять братів і десята сестриця Галя	1833	1907	F	NA	1865	NA	NA	1865	NA	NA	uk	13186	NA	NA	short	high	T2
ELTeC-ukr	UKR18722_MyrnyiLykhyiPoputav	UKR18722	Мирний, Панас [Панас Рудченко]	Лихий попутав. Оповідання	1849	1920	M	viaf:885380	1872	1872	NA	NA	NA	NA	uk	10470	NA	NA	short	high	T2
ELTeC-ukr	UKR18731_FedkovychFarmazony	UKR18731	Федькович, Юрій	Фармазони	1834	1888	M	viaf:8200461	1873	NA	NA	1873	NA	NA	uk	14104	NA	NA	short	low	T2
ELTeC-ukr	UKR18751_KonyskyiSemenZhuk	UKR18751	Яковенко, О. [Олександр Кониський]	Семен Жук і його родичі. Хроніка	1836	1900	M	viaf:21985169	1875	1875	NA	NA	NA	NA	uk	49789	NA	NA	medium	low	T2
ELTeC-ukr	UKR18771_BarvinokSkoshenyiTsvit	UKR18771	Барвінок, Василь [Володимир Барвінський]	Скошений цвіт (Виїмок з галицьких образків)	1850	1883	M	NA	1877	NA	NA	1877	NA	NA	uk	51674	NA	NA	medium	low	T2
ELTeC-ukr	UKR18791_StorozhenkoMarkoProkliatyi	UKR18791	Стороженко, Олекса	Марко Проклятий. Поема	1806	1874	M	viaf:179372193	1879	NA	NA	1879	NA	NA	uk	27877	NA	NA	short	low	T2
ELTeC-ukr	UKR18801_MyrnyiKhibaRevutVoly	UKR18801	Мирний, Панас [Панас Рудченко]	Хіба ревуть воли, як ясла повні? Роман з народнього життя	1849	1920	M	viaf:885380	1880	NA	NA	1880	NA	viaf:310215026	uk	102859	NA	NA	long	high	T3
ELTeC-ukr	UKR18993_LevytskyiHetmanIvanVyhovskyi	UKR18993	NA	Гетьман Іван Виговський. Історична повість	1837	1918	M	viaf:15568005	1880	NA	NA	NA	NA	NA	uk	82525	NA	NA	medium	high	T3
ELTeC-ukr	UKR19011_HrinchenkoSeredTemnoiNochi	UKR19011	Грінченко, Борис	Серед темної ночі	1863	1910	M	viaf:30853725	1883	1883	NA	1901	NA	NA	uk	49551	NA	NA	medium	high	T4
ELTeC-ukr	UKR18831_FrankoZakharBerkut	UKR18831	Франко, Іван	Захар Беркут : Образ громадського життя Карпатської Русі в XIII віці	1856	1916	M	viaf:10637190	1883	NA	NA	1883	NA	NA	uk	50132	NA	NA	medium	high	T3
ELTeC-ukr	UKR18841_FrankoBoaConstrictor	UKR18841	Франко, Іван	Boa constrictor : Повість	1856	1916	M	viaf:10637190	1884	NA	NA	1884	NA	NA	uk	25414	NA	NA	short	high	T3
